# Source: 1PR상품관리_BASE.xlsx
# Local/cache path: C:\MY_FULL_AI\MY_CUSTOM_CODEX-COMPANY\_local\cache\deep\xlsx\1PR상품관리_BASE.xlsx
# mtime: 2026-08-27T17:00:55
# size_bytes: 6285403
# Sheets: 모델별채산성, 반품율, FEE
# Mode: deep-initial (values+colors)
# Extracted: 2026-08-27T17:01:07+09:00

## 모델별채산성
계정 | 브랜드 |  | PRSKU | PR별칭 | PR ASIN | 간략모델명 | 단종 |  | 패킹단위 | MSRP | 루트PR | 가격 Standard Price |  | 최종 판매 가격 |  |  | 마진 | 마진(%) | F.O.B | 공급가 +수입부대비용 | 수수료 | fba fee | 배송비 +수출관세 | mpf | 미국수출관세 (관세율 수정) | 무게 |  | 해상배송비 +수출관세 | AIR배송비 +수출관세 |  | 한국수입 부대비용 | PR SKU | PR별칭 | 전체비용 | 원산지 | 성별 | 계절 | 브랜드 | 대분류 | 주무수량 | 실제주문수 | 반품수 | 반품율 | UFF RATE | UFF 수량 | 재처리비용-카이로스 | 리무벌비용-카이로스 | 재생 비율 | 매출 | 반품 상품 수수료 | 반품 상품 공급가 | 반품 상품 배송비 | reimbursement | SPEND | 공급가 | 수수료 | FBA FEE | 배송비 | MPF
KR | TSLA |  | KR19111_TMMUS17_PR | BL_ST | B0DP9BFQYB | MUS17 | 단종 |  | 100 | 29.98 | BL_ST | 11.98 |  | 5.260422535211267 |  |  | -1.0399703265492963 | -0.19769710885164277 | 2.63 | 2.6497249999999997 | 0.26302112676056333 | 2.5 | 0.79252 |  | 0.154 | 109 |  | 0.79252 | 1.8242792592592592 |  | 0.02499999999999991 | KR19111_TMMUS17_PR | BL_ST | 6.205266126760563 | 베트남 | 남성 | 사계절 | TSLA | 언더레이어 | 1 | 1 | 0 | 0 | 0.01 | 0.01 | 6.2 | 3.1 | 0.7 | 5.260422535211267 | 0 | 0 | 0 | 0 |  | 2.6497249999999997 | 0.26302112676056333 | 2.5 | 0.79252 | 0
KR | TSLA |  | KR19111_TMMUS17_PR | BL_ST | B0DP9BFQYB | S07 | 단종 |  | 100 | 25.98 | BL_ST | 9.98 |  | 9.98 |  |  | 1.7377658500000006 | 0.19786913030606673 | 2.3 | 2.3172499999999996 | 0.49900000000000005 | 3.63 | 0.7417 |  | 0.154 | 103 |  | 0.7417 | 1.7734592592592593 |  | 0.02499999999999991 | KR19111_TMMUS17_PR | BL_ST | 7.187949999999999 | 베트남 | 남성 | 사계절 | TSLA | 언더레이어 | 1 | 0.88 | 0.12 | 0.12 | 0.03 | 0.03 | 6.2 | 3.1 | 0.7 | 9.98 | 0.05988 | 0.27806999999999993 | 0.089004 | 0.04914840000000001 |  | 2.3172499999999996 | 0.49900000000000005 | 3.63 | 0.7417 | 0
KR | TSLA |  | KR19111_TMMUS17_PR | BL_ST | B0DP9BFQYB | S17 | 단종 |  | 126.0504201680672 | 29.98 | BL_ST | 9.98 |  | 9.98 |  |  | 2.4289013833333337 | 0.2433768921175685 | 2.6 | 2.6195 | 0.49900000000000005 | 3.63 | 0.7078166666666668 |  | 0.154 | 119 |  | 0.7078166666666668 | 1.5594123456790125 |  | 0.02499999999999991 | KR19111_TMMUS17_PR | BL_ST | 7.456316666666667 | 베트남 | 남성 | 사계절 | TSLA | 언더레이어 | 1 | 1 | 0 | 0 | 0.01 | 0.01 | 6.2 | 3.1 | 0.7 | 9.98 | 0 | 0 | 0 | 0 |  | 2.6195 | 0.49900000000000005 | 3.63 | 0.7078166666666668 | 0
KR | TSLA |  | KR19111_TMMUS17_PR | BL_ST | B0DP9BFQYB | MUS37 | 단종 |  | 100 | 29.98 | BL_ST | 11.98 |  | 16.78837837837838 |  |  | 6.606587808108113 | 0.44718352043138565 | 2.4 | 2.4179999999999997 | 1.678837837837838 | 3.63 | 0.7571 |  | 0.154 | 109 |  | 0.7571 | 1.7888592592592591 |  | 0.02499999999999991 | KR19111_TMMUS17_PR | BL_ST | 8.483937837837837 | 베트남 | 남성 | 사계절 | TSLA | 언더레이어 | 1 | 0.88 | 0.12 | 0.12 | 0.03 | 0.03 | 6.2 | 3.1 | 0.7 | 16.78837837837838 | 0.20146054054054055 | 0.29016 | 0.090852 | 0.09642814054054055 |  | 2.4179999999999997 | 1.678837837837838 | 3.63 | 0.7571 | 0
KR | TSLA |  | KR19111_TMMUS17_PR | BL_ST | B0DP9BFQYB | MUS87 | 단종 |  | 100 | 35.98 | BL_ST | 16.98 |  | 19.10058823529411 |  |  | 5.246212912647055 | 0.31211633427799895 | 3.83 | 3.858725 | 1.9100588235294111 | 5.32 | 0.97732 |  | 0.154 | 103 |  | 0.97732 | 2.0090792592592592 |  | 0.02499999999999991 | KR19111_TMMUS17_PR | BL_ST | 12.066103823529412 | 베트남 | 남성 | 사계절 | TSLA | 언더레이어 | 1 | 0.88 | 0.12 | 0.12 | 0.03 | 0.03 | 6.2 | 3.1 | 0.7 | 19.10058823529411 | 0.22920705882352932 | 0.463047 | 0.11727839999999999 | 0.0997124470588235 |  | 3.858725 | 1.9100588235294111 | 5.32 | 0.97732 | 0
KR | TSLA |  | KR19111_TMMUS17_PR | BL_ST | B0DP9BFQYB | MUS67 | 단종 |  | 68.80733944954129 | 39.980000000000004 | BL_ST | 18.98 |  | 18.98 |  |  | 3.989409603333332 | 0.23885247649040448 | 4.98 | 5.01735 | 1.8980000000000001 | 5.14 | 1.3300866666666666 |  | 0.154 | 218 |  | 1.3300866666666666 | 2.7570434567901234 |  | 0.02499999999999991 | KR19111_TMMUS17_PR | BL_ST | 13.385436666666667 | 베트남 | 남성 | 사계절 | TSLA | 언더레이어 | 1 | 0.88 | 0.12 | 0.12 | 0.03 | 0.03 | 6.2 | 3.1 | 0.7 | 18.98 | 0.22776000000000002 | 0.602082 | 0.15961039999999999 | 0.10031280000000002 |  | 5.01735 | 1.8980000000000001 | 5.14 | 1.3300866666666666 | 0
KR | TSLA |  | KR19111_TMMUS17_PR | BL_ST | B0DP9BFQYB | MUS72 | 단종 |  | 71.42857142857143 | 39.980000000000004 | BL_ST | 18.98 |  | 18.98 |  |  | 3.2951441000000017 | 0.19728566553309712 | 5.2 | 5.239 | 1.8980000000000001 | 5.62 | 1.3433000000000002 |  | 0.154 | 210 |  | 1.3433000000000002 | 2.723762962962963 |  | 0.02499999999999991 | KR19111_TMMUS17_PR | BL_ST | 14.1003 | 베트남 | 남성 | 사계절 | TSLA | 언더레이어 | 1 | 0.88 | 0.12 | 0.12 | 0.03 | 0.03 | 6.2 | 3.1 | 0.7 | 18.98 | 0.22776000000000002 | 0.62868 | 0.161196 | 0.09628080000000001 |  | 5.239 | 1.8980000000000001 | 5.62 | 1.3433000000000002 | 0
KR | TSLA |  | KR19111_TMMUS17_PR | BL_ST | B0DP9BFQYB | MUS07 | 단종 |  | 100 | 29.98 | BL_ST | 11.98 |  | 15.97 |  |  | 6.160724000000002 | 0.43837337052427855 | 2.2 | 2.2165 | 1.5970000000000002 | 3.63 | 0.7263000000000001 |  | 0.154 | 103 |  | 0.7263000000000001 | 1.7580592592592592 |  | 0.02499999999999991 | KR19111_TMMUS17_PR | BL_ST | 8.1698 | 베트남 | 남성 | 사계절 | TSLA | 언더레이어 | 1 | 0.88 | 0.12 | 0.12 | 0.03 | 0.03 | 6.2 | 3.1 | 0.7 | 15.97 | 0.19164 | 0.26598 | 0.087156 | 0.09024120000000004 |  | 2.2165 | 1.5970000000000002 | 3.63 | 0.7263000000000001 | 0
KR | TSLA |  | KR19111_TMMUS17_PR | BL_ST | B0DP9BFQYB | MUS77 | 단종 |  | 100 | 29.98 | BL_ST | 16.98 |  | 17.22958333333333 |  |  | 6.7517840499999995 | 0.44530861406011946 | 2.6 | 2.6195 | 1.7229583333333331 | 3.63 | 0.7879 |  | 0.154 | 105 |  | 0.7879 | 1.8196592592592593 |  | 0.02499999999999991 | KR19111_TMMUS17_PR | BL_ST | 8.760358333333333 | 베트남 | 남성 | 사계절 | TSLA | 언더레이어 | 1 | 0.88 | 0.12 | 0.12 | 0.03 | 0.03 | 6.2 | 3.1 | 0.7 | 17.22958333333333 | 0.20675499999999997 | 0.31434 | 0.09454800000000001 | 0.09976365 |  | 2.6195 | 1.7229583333333331 | 3.63 | 0.7879 | 0
KR | TSLA |  | KR21021_TMMUH02_PR | BL_BLCVA | B08WR753ZV | MUH02 | 단종 |  | 75.35323129251701 | 45.98 | USELESS | 24.98 |  | 16.94457142857143 |  |  | 4.588226324219049 | 0.2707785407002103 | 4.81 | 4.846075 | 1.6944571428571429 | 4.67 | 1.0433447023880724 |  | 0.11 | 219 |  | 1.0433447023880724 | 2.360241685179877 |  | 0.02499999999999991 | KR21021_TMMUH02_PR | BL_BLCVA | 12.253876845245216 | 베트남 | 남성 | 사계절 | TSLA | 언더레이어 | 1 | 1 | 0 | 0 | 0.01 | 0.01 | 6.2 | 3.1 | 0.7 | 16.94457142857143 | 0 | 0 | 0 | 0 |  | 4.846075 | 1.6944571428571429 | 4.67 | 1.0433447023880724 | 0
