# Source: 00_NEW_상품라인업.xlsx
# Path: \\Nas\공용_시장조사팀\01_상품기획파트\05_상품개발\00_NEW_상품라인업.xlsx
# mtime: 2026-08-21T11:36:27
# Sheets: CQR, TSLA_ATHLIO
# Mode: low-load read_only extract

## CQR
브랜드 | 이미지 | 구모델 | 모델명 | 발주서명 | 라인1 | 라인2 | 시리즈이름(OPT) | 스타일이름 | 원단이름 | 원단 정보 | 슬로건 | PR | 1번 | 스와치 컬러 | 스와치 포즈 | 촬영리뷰 파일 | 시즌
CQR |  | HLP001 / HLP004 | HLP010 | 립스탑겹바지 | Sapper |  |  | OURAY | Duratex | TC 65/35 RIPSTOP + P100 FLEECE BONDING | Winter-Grade Warmth for the Toughest. -> Rough Gets Warm | KR04081_CQHLP004_PR | 모델컷 | 베이지 | 모델컷 | 2025_02 | 겨울
CQR |  |  | HLP011 | 립스탑겹바지 | Sapper |  |  | OURAY PEAK | Duratex | TC 65/35 RIPSTOP + P100 FLEECE BONDING | Winter-Grade Warmth for the Toughest. -> Tough Gets Warm | KR04081_CQHLP004_PR | 모델컷 | 블루 | 모델컷 | 2025_02 | 겨울
CQR |  |  | HLP910 | 쉐르파3L소프트쉘 | Expedition | Hunter |  | KODIAK | ARCTLOFT | P92/S8 | Operatoe Through the Freeze | KR04081_CQHLP004_PR | 모델컷 | 미정 | 모델컷
CQR |  |  | HLP201 | 나일론겹바지 | Covert |  |  | BRUME |  | N94/S6 + P100 FLEECE BONDING | For the Frost, with Comfort.  / Chill Guard | KR04081_CQHLP003_PR | 모델컷 | 화이트 | 모델컷 |  | 겨울
CQR |  |  | HLP200 | 나일론겹바지 | Covert |  |  | BRUME EDGE |  | N94/S6 + P100 FLEECE BONDING | For the Frost, with Comfort. / Frost Guard | KR04081_CQHLP003_PR | 모델컷 | 베이지 | 모델컷 |  | 겨울
CQR |  |  | HLP900 | 쉐르파3L소프트쉘 | Liberator | Black |  | GLACIER | ARCTLOFT | P92/S8 | Operate in Sub-Zero | KR04081_CQHLP003_PR | 모델컷 | 미정 | 모델컷
CQR |  |  | HLP831 | NP투톤 | Expedition | Alpinist |  | TETON |  | N70/P22/S8 2-TONE BRUSHED | Face the Freeze. -> Chase the Frost. -> Face the Freeze | KR05071_CQHLP831_PR | 모델컷 | 베이지 | 모델컷 | 2025_05 | 겨울
CQR |  |  | HLP832 | NP투톤 | Expedition | Alpinist |  | TETON ALPHA |  | N70/P22/S8 2-TONE BRUSHED | From Snowdrift to Summit. -> Reach the Summit. | KR05071_CQHLP831_PR | 모델컷 | 블루 | 모델컷 | 2025_05 | 겨울
CQR |  |  | HLP833 | NP투톤 | Expedition | Alpinist |  | TETON ALPHA |  | N70/P22/S8 2-TONE BRUSHED | From Snowdrift to Summit. -> Reach the Summit. | KR05071_CQHLP831_PR | 모델컷 | 프린트 | 모델컷 | 2025_05 | 겨울
CQR |  |  | HLP905 | 쉐르파3L소프트쉘 | Expedition | Rider |  | YUKON | ARCTLOFT | P92/S8 | Warmth Locked In | KR05071_CQHLP831_PR | 모델컷 | 미정 | 모델컷
